model,test_em,test_f1,test_em_se,test_f1_se
step_100,35.61890170,43.45275258,0.84203132,0.50211767
step_200,38.17517773,45.45438220,1.01325042,0.75263414
step_300,37.13591704,44.70997246,1.53628825,1.16899985
step_400,38.51688318,46.19494621,0.89805471,0.78685776
step_500,38.48719892,45.57589129,0.96977703,0.99643864
step_600,38.75045784,45.34885440,1.24031573,1.31855392
step_700,37.33923871,45.01598138,1.07901465,1.17644470
step_800,39.07540101,46.55891318,0.74829419,0.68523826
step_900,37.07656158,44.38757074,0.95292452,0.88041830
step_1000,36.61088660,43.90805336,1.20618612,0.76347181
step_1100,37.69603500,45.18516680,1.00235874,0.74866313
step_1200,37.68130073,44.95535153,0.61472523,0.50883860
step_1300,37.96048060,45.01760479,0.63816689,0.65975099
step_1400,37.88308243,44.94374140,0.82537739,0.67893286
step_1500,39.05959595,46.00422738,0.77187254,0.75383994
step_1600,38.50226949,45.25999347,0.93470274,0.78113604
step_1700,38.08354299,45.24127880,1.08643382,0.72657346
step_1800,38.31618739,45.41936641,1.11618296,0.93951603
step_1900,38.64233578,45.34543145,1.11119787,0.96896017
step_2000,37.78926504,45.12340830,1.16152275,0.95849122
step_2100,38.47082682,45.97724724,0.86496305,0.67008782
step_2200,38.42520848,45.55371166,0.86083944,0.71794647
step_2300,38.51823065,45.92175168,0.81293198,0.61343992
step_2400,37.72828500,45.14259664,0.96992867,0.88162190
step_2500,37.48082011,44.87136188,0.80157706,0.66343526
step_2600,38.30223189,45.53204893,0.52615814,0.55124976
step_2700,38.50277423,45.99542377,0.77133619,0.82313438
step_2800,39.69646571,46.99560255,0.70189732,0.79642480
step_2900,39.52455896,46.75285808,0.59579767,0.50903624
step_3000,39.58723765,46.65201672,0.66377079,0.64620785
step_3100,40.11452955,47.07369415,0.61829176,0.56178369
step_3200,38.93742686,46.10311157,0.81334470,0.86585127
step_3300,39.16938653,46.45996352,0.67115635,0.64143053
step_3400,39.63379952,46.80218450,0.72858202,0.67739437
step_3500,39.20129983,46.50435742,1.04975137,0.91632849
step_3600,39.88275398,47.09687142,0.69863853,0.64043689
step_3700,40.50272244,47.66689206,0.78251973,0.64229043
step_3800,39.69685034,46.69833144,0.78681960,0.65907519
step_3900,39.60234706,46.89757881,0.94746328,0.77081804
step_4000,39.35496583,46.61752231,0.67768678,0.58299873
step_4100,38.78178517,46.30059149,0.38996875,0.44296893
step_4200,38.99916746,46.30786414,0.51720241,0.27916968
step_4300,39.49521216,46.50078140,0.45900413,0.44826339
step_4400,39.37109688,46.60364016,0.66187055,0.53073665
step_4500,39.74237344,46.90314776,0.51900968,0.28358635
step_4600,39.24662139,46.55715368,0.87555051,0.66107241
step_4700,39.71100628,46.91093171,0.71284513,0.57902099
step_4800,39.43274086,46.67497908,0.79213586,0.71822326
step_4900,39.06088569,46.26484086,0.86303369,0.87780669
step_5000,39.32386624,46.75934373,1.03102871,0.98429022
step_5100,39.64912648,46.90262274,1.10804043,0.90542107
step_5200,39.44841654,46.70503535,1.11162961,1.00535098
step_5300,38.75078406,46.20916399,1.28012255,1.17037591
step_5400,39.16959563,46.46559122,1.12560492,1.04537525
step_5500,39.12307112,46.32223152,1.03286186,0.95733587
step_5600,39.49499935,46.78360027,1.05220624,0.91445142
step_5700,39.43302038,46.60779748,1.15325351,1.02985582
step_5800,39.18509982,46.40082305,1.13404883,1.05305629
step_5900,39.09204099,46.31037146,1.36044492,1.23895809
step_6000,39.02961601,46.23965138,1.30999512,1.25960769
step_6100,39.09190918,46.29159613,1.36604030,1.22860803
step_6200,39.37092049,46.52315937,1.17531722,1.10240391
step_6300,39.10756858,46.37186520,1.19742574,1.15085148
step_6400,39.07658478,46.33606206,1.23475328,1.17823553
step_6500,39.03012122,46.28168908,1.27194251,1.23149033
step_6600,39.01453216,46.25445949,1.18562304,1.15628422
step_6700,38.95251554,46.16129745,1.11284609,1.10827742
step_6800,38.99891992,46.25687606,1.21060761,1.17687521
step_6900,38.99897982,46.23173951,1.13601436,1.14540900
final_model,39.12307253,46.31916279,1.20017063,1.17768333
