model,test_em,test_f1,test_em_se,test_f1_se
step_1300,34.17936318,43.08794878,1.36435044,1.15810731
step_2600,34.17929631,41.52216420,1.21490951,0.88369363
step_3900,10.63214462,22.98540223,4.53041485,2.81562719
step_5200,5.04117014,18.32336439,3.98373835,2.61154811
step_6500,12.40754210,25.21986365,7.29079140,5.07285476
step_7800,0.32462413,15.99505696,0.44730432,0.24746715
step_9100,1.13116764,16.15177637,0.27393390,0.21090171
step_10400,5.98138743,19.93732334,0.70777958,0.37118016
step_11700,30.67875675,39.59957167,1.08726823,0.95974542
step_13000,24.95844033,35.67916308,1.53496794,0.82944790
final_model,21.03942024,32.02146027,1.03899328,0.36024538
