model,test_em,test_f1,test_em_se,test_f1_se
step_1300,0.00000000,0.48673596,0.00000000,0.18538309
step_2600,0.00000000,0.26656425,0.00000000,0.09109552
step_3900,0.00000000,0.73193121,0.00000000,0.20846371
step_5200,0.00000000,0.21918363,0.00000000,0.07738853
step_6500,0.00000000,0.59873959,0.00000000,0.09267176
step_7800,0.00000000,0.37153529,0.00000000,0.17174062
step_9100,0.00000000,0.32522760,0.00000000,0.06446275
step_10400,0.00000000,0.40880466,0.00000000,0.16405786
step_11700,0.00000000,0.40516418,0.00000000,0.09047163
step_13000,0.00000000,0.33244997,0.00000000,0.09334508
