model,test_em,test_f1,test_em_se,test_f1_se
step_1300,33.19839998,42.39704019,2.08224882,1.17625350
step_2600,32.03943794,40.71771866,1.31518503,0.66944695
step_3900,31.20225449,39.35507968,1.66910192,1.22396135
step_5200,23.54128312,31.98008751,5.17733424,3.96345800
step_6500,18.25529214,29.52465662,6.50032673,4.96316812
step_7800,5.44723075,19.08252754,2.93068796,1.92308137
step_9100,8.79647093,22.12654957,3.13836201,2.19813229
step_10400,17.30969751,30.03190759,4.84803180,3.13852761
step_11700,2.58936405,17.60378335,0.70674810,1.15664523
step_13000,25.01978782,35.84407780,1.44034752,0.76873144
final_model,28.28981727,37.30213522,1.36170646,0.92468822
