model,test_em,test_f1,test_em_se,test_f1_se
step_100,37.15381359,43.71089813,0.70768126,0.68816485
step_200,38.74998374,45.50175933,1.16026197,1.18994044
step_300,36.27009987,44.02153500,1.09230271,0.71649330
step_400,37.94376163,44.92689758,0.80836719,0.70421746
step_500,34.97013266,41.40180531,1.41869312,1.20901437
step_600,32.04110793,37.87065985,1.62931459,1.46143773
step_700,29.17265631,36.70006569,1.59993732,1.32233066
step_800,28.84827963,34.40275676,1.40410145,0.97273390
step_900,22.18272319,27.87888491,2.87436061,3.08346420
step_1000,23.16296462,29.03363112,1.31763355,1.30864566
step_1100,27.90561784,33.74383122,0.26686808,0.47739298
step_1200,28.26127439,34.76759985,1.68132597,1.83936142
step_1300,29.49987861,35.37643501,1.13244613,1.43291095
step_1400,20.49996205,26.79049096,1.80072104,1.80721508
step_1500,18.28166325,28.75871941,1.79430043,1.60935075
step_1600,17.02713793,26.39009358,1.58785614,1.63919815
step_1700,24.88163369,31.66465604,0.92621859,1.02549975
step_1800,22.41744929,28.88568335,2.23083729,2.04327485
step_1900,16.62371199,24.64957630,3.15694483,3.01609188
step_2000,8.50252567,17.46361464,2.93959563,2.50824026
step_2100,9.61413157,16.65026835,2.73791736,2.51205528
step_2200,8.35070590,16.21210021,0.43742843,0.42333662
step_2300,5.50186114,10.75540598,0.59634728,1.10196916
step_2400,0.74477041,7.72034902,0.58495079,1.28646499
step_2500,18.97021654,25.50184981,2.97349281,3.56309317
step_2600,8.12214084,15.76652249,1.16251801,2.05013406
step_2700,2.26096626,8.58151019,0.84574103,0.84086870
step_2800,6.47286598,11.98934403,1.47460361,1.18326983
step_2900,4.55517822,10.69395898,0.69408982,1.36042660
step_3000,12.57741618,18.08592713,1.60495864,1.66409399
step_3100,18.25526516,24.36149103,1.16660272,1.49877269
step_3200,3.95002715,8.18403435,0.77476538,0.63145621
step_3300,9.82389242,15.60383719,4.19525782,3.81408054
step_3400,6.30503186,12.30413929,1.13292550,1.26114687
