model,test_em,test_f1,test_em_se,test_f1_se
step_800,35.46442962,40.96821797,1.49083223,1.45080440
step_1600,35.52628941,41.05080224,1.47663978,1.42543029
step_2400,35.46459784,40.97144407,1.48308196,1.47857411
step_3200,35.49549788,40.99617651,1.50468260,1.43034774
step_4000,35.52644570,41.02355512,1.50247170,1.42966393
step_4800,35.43334949,40.97546907,1.52392106,1.48373620
step_5600,35.51078561,41.02094535,1.50326586,1.44649388
step_6400,35.47983772,40.99817294,1.49464669,1.43682038
step_7200,35.44910605,40.95876806,1.48304057,1.45049556
step_8000,35.44893775,40.98535989,1.48093992,1.41077700
step_8800,35.46435724,40.98274823,1.49286801,1.46185075
step_9600,35.47992156,40.96295944,1.51098934,1.46856290
step_10400,35.44896235,40.98180541,1.50751742,1.46260258
step_11200,35.44866120,40.97514241,1.58131753,1.52145497
step_12000,35.44892581,40.95638980,1.51735941,1.48488351
step_12800,35.47980118,41.00551120,1.50611787,1.45456264
step_13600,35.41767739,40.98288053,1.55204091,1.49170236
final_model,35.44884205,41.00359107,1.51384846,1.46203953
