model,test_em,test_f1,test_em_se,test_f1_se
step_1300,2.52234682,10.03606856,1.79264965,1.92035747
step_2600,18.00314993,23.87230709,0.71127684,0.47154771
step_3900,0.77415301,6.21181664,0.53658767,0.77474495
step_5200,0.88351189,6.36179831,0.32443164,0.73394304
step_6500,0.03094789,4.26998546,0.03714532,0.61151648
step_7800,0.01550388,4.07764856,0.03038760,0.50851179
step_9100,0.04645177,2.88387541,0.06074597,0.51625663
step_10400,0.82168816,5.07441044,0.27098992,0.88172644
step_11700,0.13954863,4.69956928,0.08863051,1.01684578
step_13000,0.06201608,4.64870433,0.03038859,0.74315766
final_model,0.09291605,4.48780172,0.03014742,0.83165875
