model,test_em,test_f1,test_em_se,test_f1_se
step_100,36.50095036,42.91847722,1.65740313,1.41760980
step_200,36.59545020,43.74093483,1.38788947,1.38426250
step_300,35.78949653,43.47927743,1.19264794,1.18689555
step_400,36.34747374,44.33252628,1.01160699,0.86996915
step_500,36.16168815,43.95081860,1.14685795,0.97297153
step_600,37.41718059,44.44662575,1.44655312,1.40220229
step_700,36.14624885,44.15074110,1.39986136,1.34214310
step_800,38.02325447,46.25715367,0.57550407,0.99080710
step_900,37.52736639,44.59477830,0.76371173,0.97416516
step_1000,36.86003168,44.23409093,1.12611956,0.91343702
step_1100,37.54193133,44.71410016,0.84590161,0.92725338
step_1200,38.03915532,44.98722220,0.95384345,1.11538712
step_1300,37.55623057,44.74150188,1.05196290,0.98704082
step_1400,37.43338055,44.46358612,0.95183183,0.93967239
step_1500,38.51768850,45.68642017,0.67552030,0.74159673
step_1600,38.31690604,45.20643762,0.68361908,0.90821696
step_1700,37.80592428,44.80867920,1.03724535,1.21053645
step_1800,37.89852340,44.75380797,0.81277645,0.91005614
step_1900,37.55743589,44.36959415,0.86346112,0.96489269
step_2000,37.72765398,45.21202976,0.88261302,0.90943983
step_2100,37.88238069,45.35330098,0.47272795,0.44664755
step_2200,38.39338994,45.59157001,0.62035238,0.58393128
step_2300,38.11668858,45.52512656,0.65314934,0.63258232
step_2400,37.49668162,44.78818007,0.48055174,0.57931926
step_2500,37.57301257,44.78125693,0.56576267,0.55720401
step_2600,38.92123465,45.99094653,0.12857254,0.26568658
step_2700,38.54899382,45.88240216,0.49243531,0.55824640
step_2800,40.37741439,47.31062100,0.61257422,0.64817528
step_2900,39.60116343,46.77499128,0.79473984,0.77177396
step_3000,40.65619831,47.36590944,0.58987702,0.63459716
step_3100,40.98197317,47.69004193,0.66803963,0.74449532
step_3200,39.26273480,46.40892594,0.61266905,0.87778552
step_3300,39.55729911,46.65060008,0.50148724,0.55905331
step_3400,39.94449695,46.98381650,1.16594240,1.05277933
step_3500,38.95349939,45.93771077,0.88408244,1.01179322
step_3600,40.17616400,47.36053263,0.68633497,0.77873860
step_3700,39.78914140,46.90851211,0.83839035,0.80782138
step_3800,38.82761551,46.06575122,0.88915485,0.77068464
step_3900,39.83472339,46.99263289,0.46767373,0.38280777
step_4000,39.09126640,46.18026509,0.67216888,0.65889023
step_4100,37.83611041,45.27183375,0.62906312,0.45770952
