model,test_em,test_f1,test_em_se,test_f1_se
step_1300,36.09833660,42.14099451,1.91067088,1.77645336
step_2600,36.39162405,43.23541425,1.90672133,1.62701561
step_3900,36.12845088,43.27628506,2.00783776,1.68796008
step_5200,36.26791662,43.51720200,2.11015186,1.75932386
step_6500,36.03618651,43.51089746,1.88466690,1.59892655
step_7800,35.81909210,43.46440353,1.96862053,1.61040717
step_9100,35.91229848,43.59039802,1.89208598,1.51653733
step_10400,35.78782020,43.60269261,1.98820181,1.55286514
step_11700,35.71091592,43.56616954,1.87952900,1.49388512
step_13000,35.41656809,43.45697468,1.95262424,1.52706416
final_model,35.07554029,43.29705955,1.98791830,1.44294042
